Retail Investor Holding,Pledged Promoter Holdings,Insurance Firms Holding,No. of Shareholders,Total Revenue,Net Income,PBT,Earnings Per Share,EBITDA,Long Term Investments,Reserves & Surplus,Cash and Equivalent,Book Value,Free Cash Flow,Operating Cash Flow
8.1288318375506,24.2383618363111,3.12116199508992,299954,49997.18,4012.2,6035.75,39.3346782214256,12582.42,144.26,29754.19,7163.5,30936.97,11102.82,11960.93
4.4075045005777,0,0.0425474782582386,67205,8061.48,1251.88,1526.26,73.9782459471164,2542.33,42.09,5748.21,742.55,5837.17,1675.54,2010.69
5.53194761315992,0,0,543012,14633.27,2205.46,2948.66,13.6949067737226,3051.72,25155.39,10383.21,6192.95,17408.18,-1167.07,-944.56
9.54017665333297,0,1.24900333565341,398538,31517.09,2917.75,3849.32,146.06292705275,4610.85,4356.28,15344.97,6621.58,15559.61,3529.43,4110.45
2.55452790549886,0,0.328858584725805,207018,23119.6,3239.46,4276.99,96.8774251429854,5722.16,1055.51,15077.88,7177.35,15416.18,13945.44,15262.72
6.90405923125554,20.5231450668174,0,1142697,28149.68,1269.98,2288.74,3.29271481718279,10596.72,0.01,-12542.11,1627.41,13200.94,3396.74,7014.35
8.16095666800745,0,0,549695,2201.74,1325.76,1748.95,62.2777010821937,1804.36,4753.25,4102.54,2.35,4776.18,1073.7,1085.32
7.51702950920909,0,3.8795220387105,72430,2852.43,340.57,453.41,305.337858397898,546.65,0,832.53,435,884.88,680.56,695.89
31.0213718060955,0,1.22737426866404,397296,1865.93,368.14,511.88,59.1138478692745,563.31,0,1289.9,859.62,1352.18,398.56,437.39
2.01303933276659,0,0.118846642750321,560916,24803.63,1513.97,1448.67,1.43280203867569,1845.52,81470.88,-23856.64,35308.12,37741.02,3384.79,3443.45
12.7570035444935,0,5.19723788513598,106810,2794.56,-146.170000000001,-204.820000000001,-4.1118187288187,313.26999,816.63,353.18,752.13,2357.52,260.48,373.84
6.581823394191,0,0,80464,7214.96,519.71,711.49,24.53,824.89,0,3520.72,2206.65,3606.38,196.84,318.22
3.85774995054006,0,0,113439,1333.09,-189.43,-85.6599999999997,-7.14874751003817,118.74,1523.17,-250.25,4392.64,8319.49,-799.53,-671.21
8.80191254651321,0,14.9473731515277,633043,15722.06,6276.64,8895.92,20.9484742625896,9141.27,874.9,29590.98,5861.82,29897.59,5644,7266.11
7.44403878259855,0,12.9902446764794,92248,10193.1,482.000000000001,565.300000000001,163.425063844273,920.70000,3422,9782.6,4178.2,9812.9,515.6,715.4
11.6354640591766,0,9.39827506097743,156788,7744.64,525.139999999999,709.209999999999,15.876939538955,769.24999,2797.11,4955.5,708.11,5029.45,535.29,556.11
7.60361461905295,0,3.62943930005776,140279,4706.3,738.3,938.5,50.9167697846771,1147.3,20.7,3127.3,2327.4,5342.4,286,725
19.3477630513382,0,4.72080742323324,307101,4871.57,1035.39,1350.22,38.0678194201978,1539.98,18.61,1125.86,867.64,1165.86,726.1,783.86
6.11967564808903,0,0,127816,5955.35,1177.53,1554.92,60.9118102740889,1982.98,1025.62,5961.16,470,5999.82,412.81,1339.03
1.69702003094551,0,6.51056914648936,86881,9098.22,1585.02,1842.1,132.565550119182,2175.6,153.95,7352.82,2169.28,7558.01,1069.99,1264.9
2.6324656305703,0.0230929239863153,0.709484596419285,137939,9243.19,694.060000000001,1006.61,16.027874821942,1744.84,0,1173.41,336.62,4196.7,396.62,1231.42
6.79614497713585,0,9.04159444004465,642646,93659.75,2890.59000000001,3881.53000000001,21.5959708449217,4719.5700,286191.25,30606.49,178866.37,63202.97,58194.95,59117.67
8.55566320637547,0,3.4829851163632,199756,3201.4,404.4,533,20.1299082370717,662.6,0,1473.4,476,1917,492.4,664.1
10.154619528156,0,6.55724337545443,1244836,70771.69,4148.13000000001,7205.65000000001,10.0426209979803,14125.58,3442.26,41040.59,796.35,45406.23,19757.67,23430.37
5.78950202866348,0,0,348947,1568.64,215.16,299.99,3.77862190181981,429.45,0,470.12,27.58,1303.9,-76.21,142.73
6.10538338755032,0,4.20034792680964,347390,236030.84,10662.8900000001,14197.0000000001,71.6291386605736,18785.750,9675.84,36628.45,5992.5,38080.86,6163.26,17829.26
8.50147062423504,0,0.000266258739816662,122347,16370.03,1862.99,2506.38,99.21,3161.68,129.27,11666.11,6005.7,12702.37,1470.66,2219.19
10.8618828544934,0,8.70287843071632,1877247,94990.85,2561.97999999999,3782.36999999999,2.9764078545964,4764.5999,404368.96,46086.66,113334.43,93021.1299999999,30163.51,30950.35
7.28445777111444,0,4.24247484591038,364502,7372.9,740.500000000001,1067.7,6.17083333333334,1840.5,743.2,6965,3224.1,8507.6,-586.6,1159.7
3.17333683997205,10.5071985568632,1.92096637270857,66556,4348.34,113.22,169.41,4.28206487007559,424.09,6.06,2926.46,469.28,3586.03,419.62,620.28
3.49425303427298,0,0.00459219645695954,1057586,3187.6,-1696.1,-1698.3,-280.5385483345,-1482,265.8,-12451.1,3023.6,6516.2,-2275.2,-2082.5
6.59687112756664,0,6.49979897290589,370931,15139.4,2133.6,2284.8,20.8411762878677,3173.1,631.2,12889.9,1087.2,14929.6,2439,3293
2.61361820477613,0,4.09585417654326,135328,6826.52,505.140000000001,673.590000000001,8.29057419715308,1270.38,1211.12,9882.45,2542.81,10295.62,440.01,1029.06
8.08273823785522,11.9072824231659,5.55014254061555,341568,28404.97,5334.84,7343.59,91.0513377362507,8473.47,431.22,21453.39,5634.07,21928.99,1455.11,3328.92
1.17815321569174,0,0.480968436152731,191508,5446.82,-825.59,-1045.96,-15.8962204832025,-1000.23,6733.3,-709.53,1879,3499.64,844.29,890.38
15.5919333256217,0,0.32378945906082,83236,4390.92,690.69,925.95,325.041264884842,1002.36,0,2580.91,2409.04,2602.16,703.43,726.74
5.97646805838965,0,4.08105845007197,142821,6401.6,1170.68,1458.5,37.9883257871849,1562.87,10815.41,3934.6,4781.34,6275.22,4914.87,5056.1
8.1668540489422,0,0,303912,9064.46,882.09,1064.96,59.201031313657,1304.68,11.82,3873.01,1154.45,4772.77,1044.73,1238.22
8.67139066425547,0,1.29887124650357,31637,3126.75,460.04,618.02,520.317596866513,675.88,0,2554.26,1796.86,2578.87,315.86,364.4
7.97136125549576,0,11.3560167101637,361862,15300.58,1216.53,1676.45,26.8348776345528,2704.5,78.07,12723.64,4119.27,13858.11,1144.14,1821.76
5.76634070687751,0,0.128338273301059,181316,9930.52,1277.72,1706.94,18.5609867660435,2181.64,47.8,4373.88,320.96,4511.56,903.84,1655.16
2.12398111691287,0,0.79938454967876,181998,957.41,-150.25,-141.92,-14.3666483398274,-88.88,0.05,-932.06,1947.89,1991.74,22.89,28.71
9.59674017652494,50.456041019844,0.0483629339305446,,2578.29,698.35,753.88,8.12237943206731,1970.69,2411.86,-1733.14,942.85,27093.07,1102.72,1870.49
10.0470722930978,0,3.96134641805692,151610,4295.66,450.680000000001,609.450000000001,58.9663744602906,790.79000,362.13,2719.24,1618.4,2795.67,607.83,735.93
1.25941475498417,0,0.024767621912986,471872,22524.55,831.469999999999,839.709999999999,0.505853009580836,1097.71,95494.22,-6415.51,30776.33,16944.81,4884.12,4950.78
3.65321517834789,0.54937127677825,1.31504631692403,211696,3384.95,231.66,306.17,17.5541172384068,844.27,435.28,1263.02,620.63,1436.22,532.05,750.64
8.40855348202094,1.25170687300865,0.0211734182976787,47407,2851.58,-218.73,482.33,-19.911697769686,796.97,19.51,3481.84,90.21,3478.95,342.73,616.4
11.1708653021244,8.96973333771365,5.1570576128033,1160873,20047.68,-165.229999999998,-67.0799999999979,-0.562863105891978,2669.18,851.11,5556.18,2023.05,9130.3,-1816.8,-1065.13
1.69798680308999,0,1.30863221284307,66510,2093.84,739.3,924.43,20.3326581843885,1041.66,1509.4,6171.44,243.3,9369.14,-621.61,702.51
4.8068052631579,2.92105263157895,3.3983301754386,119487,17348.49,1250.63,1608.55,43.8817543859648,4342.62,950.93,-894.55,2209.53,143.630000000001,1816.2,3179.83
27.1240342675944,0,0,4194149,23475.39,-3488.92,-4761.77,-1.85554309829368,-4401.74,43114.65,-4167.61,29325.25,33138.29,49854.4,50124
2.53998148600199,25.9022972924543,0.0271989605355519,111877,2619.41,-137.55,-68.6500000000004,-1.83010878122689,284.9,0.51,-432.080000000001,652.92,5638.68,-0.560000000000002,117.86
12.903659955123,0,6.7427277050861,282980,4506.8,523.47,664.55,15.0221862367144,982.23,63.52,2718.08,412.32,3515.14,-442.11,872.71
7.96699821485332,3.2217281456305,5.4721561586581,151059,6505.16,-126.39,-25.4599999999999,-2.71362076080007,694.43,529.58,4627.6,2550.04,5446.82,105.76,1020.02
20.7470833273977,0,0,467419,4837.17,983.58,1301.11,18.3645083237949,1574.34,3.41,1790.54,48.46,2600.7,44.23,733
9.13605239735159,0,0,419197,26400.91,2939.23,3957.51,19.5948666666667,5077.55,321.78,10306.9,5727.53,11806.9,3486.16,3559.2
4.52290011354074,0,0.333814441224988,383046,71706.75,11747.83,19890.73,44.4979839045933,19916.19,3498.83,54173.66,8202.56,81790.25,-59235.39,-59142.61
6.57662564427891,0,0.677940702915165,85205,5115.91,1761.86,2477.34,204.937107370528,2600.58,0,5191.07,4914.13,6848.77,1900.51,1919.51
4.18197730381298,0,8.40311589418254,97899,17436.4,2498.83,3278.01,103.041814647818,3415.37,3346.77,18262.96,16441.82,21717.29,-4264.58,-4238.76
24.1436181483775,0,4.03287217564128,536074,4381.27,775.81,1041.72,56.8802765527683,1271.68,2.5,1885.2,220.22,2346.65,789.48,999.04
6.81043110054049,0,1.1612175332054,1519487,15770.86,4416.12,4416.12,3.54012266480302,4420.55,11.98,20944.01,458.92,35913.39,-89907.52,-89906.65
8.78656607529333,0.0540221802110771,0,49190,6194.72,286.320000000001,412.220000000001,15.0420694088113,710.47000,45.57,1737.06,899.03,2507.75,118.08,268.44
0,0,0,85302,16382.97,680.76,514.39,23.0169450982431,1020.23,18.63,3551.4,398.45,4224.55,225.93,247.27
4.73764901161258,0,1.07555362257843,100313,6422.5,206.63,324.8,7.71770789103467,773.75,528.61,1576.54,239.74,2563.02,43.66,342.71
5.49489998486619,0,0.322521084457738,2147653,44646.3,-44233.1,-44253.4,-15.3932489414227,-2616.7,4.1,-175433.2,2216.5,-38228,10355.3,15639.7
16.0141971162019,0,0.980513979368298,62406,16373.13,1277.06,1736.84,3011.12223756662,3159.25,1129.77,13400.01,4913.64,13413.81,3471.84,4324.58
7.08564871746869,0,8.04043255949055,198576,19468.04,594.26,821.63,12.5084428200256,2267.94,468.01,3779.1,1656.85,4214.51,223.31,1151.29
13.2203510245073,0.67597139032207,4.16928000022713,67025,3841.7,655.76,881.68,221.134049838319,1027.35,620.75,3796.91,1088.48,3857.15,395.44,717.95
8.15646176046176,0,6.5678740981241,100739,4746.98,635.03,825,22.9087301587301,968.95,272.39,4595.93,1291.95,4651.37,672.35,788.68
3.97995337757319,0,7.53079201501084,784996,11044.77,3257,4483.11,3.24239792417524,6435.9,1842.24,23045.26,2256.82,35918.69,3090.84,5072.8
6.17881023185497,0,0,260562,2381.92,291.56,391.16,11.7447808998958,519.87,0.2,1353.12,345.67,1572.41,389.8,513.12
5.77761506475769,9.36298348122573,2.97256445160964,66724,31288.02,425.379999999999,592.889999999999,13.8425039387704,598.20999,91765.75,-1405.11,508.41,3605.03999999999,8538.19,8621.13
3.88984468502883,0,1.91594989420274,22214,5632.89,629.12,843.14,40.26,1043.92,0,3049.03,1245.9,3140.29,411.5,649.19
12.3595326763035,0,6.5981007622534,357595,1899.83,-720.11,-849.54,-5.87000714232412,-37.08999,1034.54,827.46,602.26,4283.01,-534.16,-318.69
6.06460406902392,0,7.08085719330606,293117,5181.44,1172.55,1421.9,16.7506951420627,1734.31,720.7,6194.43,2699.99,6334.43,663.05,1545.97
5.96991778889749,0,0.483063555612156,46253,2447.69,507.21,697.9,59.47,882.32,3.67,1451.78,325.86,2234.31,268.51,338.96
8.89942024010399,0,0,57938,10704,1231,1408,64.7765071321276,2973,121,5273,3604,12663,2550,3596
17.3479958078207,0,0.00281731257681839,1561150,4547.29,304.389999999999,398.439999999999,0.597316813001239,807.39999,1.4,2485.35,118.6,3328.32,171.49,504.93
5.10820209139824,0,5.7348649083211,739143,83210.54,2863.39999999999,2327.17999999999,5.82603887783434,3235.3299,339058.51,40848.42,84763.33,64737.7699999999,198.08,205.27
6.20633669115589,0,5.45298082049415,104246,4695.4,455.600000000001,596.200000000001,74.0289942127721,794.10000,0,2401.6,824.6,2466.1,684.1,762.3
6.29764240970579,0,5.41890055938025,226546,5322.32,-672.51,-837.54,-7.80688697486042,655.29,73.59,-1046.38,606.06,2676.78,942.54,1103.8
10.4420849613893,0,0,123480,3346.09,358.16,550.51,21.1421040646049,633.32,0,1329.67,1157.98,1499.08,533.7,577.93
13.9295525162771,0,0,324012,6449.75,159.79,217.01,27.4505957134879,293.45,0,557.39,164.13,737.31,1.94000000000003,170.11
